会社名,部署,担当者,事業内容,課題仮説,HP,フォームURL
Earth Technology株式会社,開発部,ご担当者,"Webアプリ・サービス運営（ITインフラストラクチャー・翻訳・通訳）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模3億円以上10億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.tech-earth.co.jp/,http://www.tech-earth.co.jp/contact/
セーフィー株式会社,開発部,ご担当者,"クラウド系/SaaS/ASPサービス（その他機械・Webアプリ・サービス運営・防犯機器）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,,https://safie.link/inquiry/
株式会社FLUX,開発部,ご担当者,"Webアプリ・サービス運営（その他広告・制作）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://flux.jp/,https://flux-g.com/contact/
株式会社ecbeing,開発部,ご担当者,"Webアプリ・サービス運営（その他IT・Webマーケコンサル・受託開発）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。受託案件の波で稼働が上下し、繁忙期だけ経験者を確保する手段がない。,https://www.ecbeing.net/,https://www.ecbeing.net/contacts/index.html
株式会社LegalOn Technologies,開発部,ご担当者,"クラウド系/SaaS/ASPサービス（その他IT）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://legalontech.jp/company/,https://legalforce-corp.com/contact
アディッシュ株式会社,開発部,ご担当者,"Webアプリ・サービス運営（その他サービス・情報セキュリティ・クラウド系/SaaS/ASPサービス）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模10億円以上50億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.adish.co.jp/about/companyinfo/,https://info.adish.co.jp/webapp/form/21053_tdfb_85/index.do
株式会社プレイド,開発部,ご担当者,"Webアプリ・サービス運営（Webアプリ・サービス運営）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://plaid.co.jp/,https://plaid.co.jp/contact.html
株式会社アバント,開発部,ご担当者,"Webアプリ・サービス運営（その他IT・会計士・デジタル系コンテンツ）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.avantgroup.com/ja/corporate/outline.html,https://www2.diva.co.jp/inquiry
株式会社IIJグローバルソリューションズ,開発部,ご担当者,"Webアプリ・サービス運営（クラウド系/SaaS/ASPサービス・情報セキュリティ・ITインフラストラクチャー）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.iijglobal.co.jp/about/outline.html,https://www.iijglobal.co.jp/contact/
株式会社JVCケンウッド・公共産業システム,技術部,ご担当者,"情報セキュリティ（無線通信機械・防犯機器・音響・映像機器）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",管理コンソールやダッシュボードのUIが製品評価に直結するのに、セキュリティ専門のエンジニアがUI実装まで抱えており開発が詰まりやすい。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://jkpi.jvckenwood.com/corporate/overview.html,https://inquiry3.jvckenwood.com/Ask/index.asp?Key=List&amp;C_No=8
